epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,439.563,3.08903,0.71354,0.865,1.29122,2.93009e-05,2.93009e-05,2.93009e-05
2,465.985,1.03263,0.85854,0.94615,0.54214,5.13996e-05,5.13996e-05,5.13996e-05
3,935.211,0.64527,0.88758,0.97026,0.39565,6.62139e-05,6.62139e-05,6.62139e-05
4,1394.63,0.51142,0.9078,0.97881,0.32628,5.533e-05,5.533e-05,5.533e-05
5,1863.52,0.44159,0.91426,0.98103,0.30093,4.444e-05,4.444e-05,4.444e-05
6,2342.33,0.40327,0.92003,0.98312,0.28001,3.355e-05,3.355e-05,3.355e-05
7,2801.34,0.3724,0.92239,0.98333,0.26788,2.266e-05,2.266e-05,2.266e-05
8,3437.7,0.35743,0.92392,0.98388,0.26326,1.177e-05,1.177e-05,1.177e-05
