epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,290.704,1.70729,0.93779,0.99852,0.23768,7.75586e-05,7.75586e-05,7.75586e-05
2,578.97,0.20185,0.98136,0.99991,0.06394,0.000136016,0.000136016,0.000136016
3,876.167,0.11197,0.98162,0.99991,0.05331,0.000175251,0.000175251,0.000175251
4,1165.3,0.07919,0.99059,0.99983,0.03101,0.000146499,0.000146499,0.000146499
5,2595.9,0.06267,0.99085,0.99991,0.02718,0.000117665,0.000117665,0.000117665
6,3105.97,0.04593,0.99434,0.99991,0.01801,8.88312e-05,8.88312e-05,8.88312e-05
7,4006.75,0.03845,0.99573,0.99991,0.01473,5.99975e-05,5.99975e-05,5.99975e-05
8,4297.73,0.03237,0.99599,0.99991,0.01328,3.11638e-05,3.11638e-05,3.11638e-05
